Provincia, TR, a, n
Arezzo,2.0,29.65500,0.21174
Arezzo,5.0,39.21600,0.21202
Arezzo,10.0,45.55100,0.21441
Arezzo,20.0,51.25200,0.21984
Arezzo,30.0,54.64900,0.22369
Arezzo,50.0,58.60800,0.23114
Arezzo,100.0,63.84200,0.24220
Arezzo,150.0,66.75000,0.24980
Arezzo,200.0,68.69600,0.25522
Arezzo,500.0,75.17400,0.27122
Firenze,2.0,23.32100,0.20621
Firenze,5.0,32.90000,0.20272
Firenze,10.0,39.74000,0.21254
Firenze,20.0,46.80400,0.22627
Firenze,30.0,50.97600,0.23387
Firenze,50.0,56.31600,0.24226
Firenze,100.0,63.57000,0.25197
Firenze,150.0,67.92300,0.25686
Firenze,200.0,70.93900,0.25954
Firenze,500.0,80.91300,0.26618
Grosseto,2.0,29.04100,0.25974
Grosseto,5.0,38.40400,0.26003
Grosseto,10.0,44.60800,0.26242
Grosseto,20.0,50.19100,0.26785
Grosseto,30.0,53.51800,0.27170
Grosseto,50.0,57.39500,0.27915
Grosseto,100.0,62.52000,0.29020
Grosseto,150.0,65.36900,0.29780
Grosseto,200.0,67.27400,0.30324
Grosseto,500.0,73.61700,0.31924
Livorno,2.0,27.41200,0.21797
Livorno,5.0,38.63300,0.21138
Livorno,10.0,46.77800,0.21962
Livorno,20.0,54.82300,0.24319
Livorno,30.0,59.51300,0.26117
Livorno,50.0,65.57600,0.28313
Livorno,100.0,74.04500,0.30704
Livorno,150.0,79.10600,0.31822
Livorno,200.0,82.77700,0.32465
Livorno,500.0,95.11000,0.33853
Lucca,2.0,28.67900,0.37941
Lucca,5.0,39.47800,0.37688
Lucca,10.0,47.19300,0.37873
Lucca,20.0,55.25300,0.38567
Lucca,30.0,60.39600,0.38976
Lucca,50.0,67.23300,0.39680
Lucca,100.0,77.58500,0.40436
Lucca,150.0,84.15700,0.40777
Lucca,200.0,89.13300,0.40926
Lucca,500.0,105.88000,0.40913
Massa-Carrara,2.0,42.84600,0.30471
Massa-Carrara,5.0,58.97800,0.30217
Massa-Carrara,10.0,70.50400,0.30403
Massa-Carrara,20.0,82.54600,0.31097
Massa-Carrara,30.0,90.22900,0.31505
Massa-Carrara,50.0,100.44000,0.32209
Massa-Carrara,100.0,115.91000,0.32966
Massa-Carrara,150.0,125.73000,0.33307
Massa-Carrara,200.0,133.16000,0.33455
Massa-Carrara,500.0,158.17999,0.33442
Pisa,2.0,29.60800,0.26560
Pisa,5.0,41.76700,0.26212
Pisa,10.0,50.45100,0.27193
Pisa,20.0,59.42000,0.28567
Pisa,30.0,64.71700,0.29326
Pisa,50.0,71.49500,0.30166
Pisa,100.0,80.70400,0.31138
Pisa,150.0,86.23100,0.31625
Pisa,200.0,90.05900,0.31894
Pisa,500.0,102.72000,0.32560
Pistoia,2.0,24.35700,0.36166
Pistoia,5.0,33.52900,0.35912
Pistoia,10.0,40.08000,0.36100
Pistoia,20.0,46.92600,0.36794
Pistoia,30.0,51.294000.37202
Pistoia,50.0,57.10000,0.37905
Pistoia,100.0,65.8920,0.38662
Pistoia,150.0,71.47400,0.39003
Pistoia,200.0,75.70100,0.39150
Pistoia,500.0,89.92400,0.39137
Prato,2.0,23.79500,0.20057
Prato,5.0,33.56700,0.19710
Prato,10.0,40.54700,0.20691
Prato,20.0,47.75400,0.22064
Prato,30.0,52.01200,0.22822
Prato,50.0,57.45900,0.23664
Prato,100.0,64.86100,0.24635
Prato,150.0,69.30300,0.25123
Prato,200.0,72.37900,0.25390
Prato,500.0,82.55400,0.26056
Siena,2.0,19.97500,0.19399
Siena,5.0,28.15200,0.18740
Siena,10.0,34.08700,0.19564
Siena,20.0,39.94900,0.21922
Siena,30.0,43.36600,0.23720
Siena,50.0,47.78300,0.25916
Siena,100.0,53.95600,0.28306
Siena,150.0,57.64300,0.29426
Siena,200.0,60.31800,0.30067
Siena,500.0,69.30500,0.31457
